threshold,recall,precision,f1,tn,fp,fn,tp
0.1,0.9878048780487805,0.31995841995841995,0.48335427135678394,1204,3271,19,1539
0.11,0.9865211810012837,0.3254287529112852,0.48941251393090274,1289,3186,21,1537
0.12,0.9858793324775353,0.33053582956746286,0.4950846091861402,1364,3111,22,1536
0.13,0.9845956354300385,0.33515403102468866,0.500081499592502,1432,3043,24,1534
0.14,0.9839537869062901,0.33961010190518387,0.5049407114624506,1494,2981,25,1533
0.15,0.9801026957637997,0.34322319622387054,0.508406858664891,1553,2922,31,1527
0.16,0.9794608472400513,0.34784590836562573,0.5133725820016821,1614,2861,32,1526
0.17,0.9775353016688062,0.35230164237797823,0.5179391259989797,1675,2800,35,1523
0.18,0.975609756097561,0.3559718969555035,0.5216197666437886,1725,2750,38,1520
0.19,0.9743260590500642,0.359035004730369,0.5247148288973384,1765,2710,40,1518
0.2,0.9717586649550706,0.3616817964644052,0.5271587743732591,1803,2672,44,1514
0.21,0.9704749679075738,0.3643373493975904,0.5297827610371408,1837,2638,46,1512
0.22,0.9659820282413351,0.36689419795221845,0.5318021201413428,1878,2597,53,1505
0.23,0.9621309370988447,0.3692118226600985,0.5336418654325382,1914,2561,59,1499
0.24,0.9608472400513479,0.3713718680228231,0.5356951154052604,1941,2534,61,1497
0.25,0.9576379974326059,0.3729067733066733,0.5367871919409966,1966,2509,66,1492
0.26,0.9557124518613607,0.3746854554604932,0.5383224873463485,1990,2485,69,1489
0.27,0.9550706033376123,0.3774733637747336,0.5410909090909091,2021,2454,70,1488
0.28,0.9518613607188704,0.3788962698007154,0.54203216374269,2044,2431,75,1483
0.29,0.94801026957638,0.38155515370705245,0.5441149382943452,2081,2394,81,1477
0.3,0.944801026957638,0.3829344432882414,0.5449833395038874,2103,2372,86,1472
0.31,0.941591784338896,0.3845347313237221,0.5460636515912898,2127,2348,91,1467
0.32,0.9390243902439024,0.387037037037037,0.548145372798801,2158,2317,95,1463
0.33,0.9358151476251605,0.3895271172855998,0.5500848896434635,2190,2285,100,1458
0.34,0.9306803594351734,0.3913630229419703,0.5510165304959149,2220,2255,108,1450
0.35,0.9274711168164314,0.39384028345598254,0.5528984120910656,2251,2224,113,1445
0.36,0.923620025673941,0.39587345254470424,0.55420758713653,2279,2196,119,1439
0.37,0.9191270860077022,0.3971159179145868,0.5546088303640588,2301,2174,126,1432
0.38,0.9127086007702182,0.3991018804378333,0.5553602811950791,2334,2141,136,1422
0.39,0.9075738125802311,0.40136247516321316,0.5565833497343042,2366,2109,144,1414
0.4,0.9037227214377407,0.4029765311963366,0.557403008709422,2389,2086,150,1408
0.41,0.9005134788189987,0.40607814761215627,0.5597446638739277,2423,2052,155,1403
0.42,0.8960205391527599,0.40866510538641687,0.5613188580619219,2455,2020,162,1396
0.43,0.8928112965340179,0.41117351463198343,0.5630439182351751,2483,1992,167,1391
0.44,0.886392811296534,0.41273161984459056,0.5632137030995106,2510,1965,177,1381
0.45,0.8818998716302953,0.4166161309884779,0.5658978583196046,2551,1924,184,1374
0.46,0.8754813863928113,0.4189189189189189,0.5666805151641047,2583,1892,194,1364
0.47,0.8677792041078306,0.42197253433208487,0.5678286434271315,2623,1852,206,1352
0.48,0.858793324775353,0.42706670922438555,0.5704540609678107,2680,1795,220,1338
0.49,0.8504492939666238,0.42880258899676377,0.5701376936316696,2710,1765,233,1325
0.5,0.8388960205391528,0.4327814569536424,0.5709916994320664,2762,1713,251,1307
0.51,0.8234916559691913,0.4337390128465179,0.5682019486271036,2800,1675,275,1283
0.52,0.8145057766367138,0.4371339993110575,0.5689307330195024,2841,1634,289,1269
0.53,0.8048780487804879,0.4437367303609342,0.5720802919708029,2903,1572,304,1254
0.54,0.7933247753530167,0.4463705308775731,0.5712965102842616,2942,1533,322,1236
0.55,0.7798459563543004,0.4523454951600894,0.5725730442978322,3004,1471,343,1215
0.56,0.7593068035943518,0.4574632637277649,0.5709459459459459,3072,1403,375,1183
0.57,0.7419768934531451,0.4622151139544182,0.5695984232569599,3130,1345,402,1156
0.58,0.7265725288831836,0.46757538207352334,0.5689871827092234,3186,1289,426,1132
0.59,0.7105263157894737,0.4759243336199484,0.5700308959835222,3256,1219,451,1107
0.6,0.6893453145057766,0.48400180261379,0.5687053216838761,3330,1145,484,1074
0.61,0.6585365853658537,0.49137931034482757,0.5628085573230938,3413,1062,532,1026
0.62,0.634788189987163,0.4994949494949495,0.5590729225551159,3484,991,569,989
0.63,0.6052631578947368,0.5067168189145621,0.5516232816613045,3557,918,615,943
0.64,0.5706033376123235,0.515063731170336,0.5414129110840439,3638,837,669,889
0.65,0.5474967907573812,0.5271940667490729,0.5371536523929471,3710,765,705,853
0.66,0.517971758664955,0.538,0.5277959450621321,3782,693,751,807
0.67,0.49165596919127086,0.5483178239083751,0.5184433164128596,3844,631,792,766
0.68,0.46405648267008986,0.5591647331786543,0.507190459487899,3905,570,835,723
0.69,0.4345314505776637,0.577152600170503,0.4957890882460637,3979,496,881,677
0.7,0.4011553273427471,0.5868544600938967,0.47655356462066334,4035,440,933,625
0.71,0.3607188703465982,0.5922023182297155,0.44834463502193855,4088,387,996,562
0.72,0.3299101412066752,0.6068476977567887,0.42744282744282747,4142,333,1044,514
0.73,0.3010269576379974,0.6236702127659575,0.40606060606060607,4192,283,1089,469
0.74,0.2663671373555841,0.6345565749235474,0.3752260397830018,4236,239,1143,415
0.75,0.2336328626444159,0.6442477876106195,0.34291097503532736,4274,201,1194,364
0.76,0.1970474967907574,0.6545842217484008,0.302910705476073,4313,162,1251,307
0.77,0.17586649550706032,0.6650485436893204,0.2781725888324873,4337,138,1284,274
0.78,0.1521181001283697,0.6732954545454546,0.2481675392670157,4360,115,1321,237
0.79,0.13029525032092426,0.6835016835016835,0.2188679245283019,4381,94,1355,203
0.8,0.10462130937098844,0.6763485477178424,0.1812117843246248,4397,78,1395,163
0.81,0.08664955070603338,0.6716417910447762,0.1534963047185901,4409,66,1423,135
0.82,0.07060333761232349,0.6748466257668712,0.12783265543288785,4422,53,1448,110
0.83,0.05969191270860077,0.6992481203007519,0.10999408633944412,4435,40,1465,93
0.84,0.04685494223363286,0.6952380952380952,0.08779314491882141,4443,32,1485,73
0.85,0.03530166880616174,0.6962025316455697,0.06719609040928527,4451,24,1503,55
0.86,0.029525032092426188,0.7419354838709677,0.056790123456790124,4459,16,1512,46
0.87,0.023106546854942234,0.75,0.0448318804483188,4463,12,1522,36
0.88,0.01797175866495507,0.7777777777777778,0.03513174404015056,4467,8,1530,28
0.89,0.014120667522464698,0.7857142857142857,0.027742749054224466,4469,6,1536,22
0.9,0.007702182284980745,0.75,0.015247776365946633,4471,4,1546,12
