number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7664369090082225,2026-05-15 01:08:36.699296,2026-05-15 01:08:37.359864,0 days 00:00:00.660568,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7726181936330265,2026-05-15 01:08:37.360158,2026-05-15 01:08:37.934617,0 days 00:00:00.574459,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7967055580558586,2026-05-15 01:08:37.935901,2026-05-15 01:08:38.551716,0 days 00:00:00.615815,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7977178266472917,2026-05-15 01:08:38.551954,2026-05-15 01:08:39.091839,0 days 00:00:00.539885,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7828739360790282,2026-05-15 01:08:39.092053,2026-05-15 01:08:40.599385,0 days 00:00:01.507332,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8060838593808515,2026-05-15 01:08:40.599602,2026-05-15 01:08:41.435431,0 days 00:00:00.835829,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8015112955196193,2026-05-15 01:08:41.435676,2026-05-15 01:08:41.792310,0 days 00:00:00.356634,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7923149286358907,2026-05-15 01:08:41.792539,2026-05-15 01:08:42.583529,0 days 00:00:00.790990,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8000516877990821,2026-05-15 01:08:42.583764,2026-05-15 01:08:43.337236,0 days 00:00:00.753472,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.764554755301128,2026-05-15 01:08:43.337477,2026-05-15 01:08:43.982666,0 days 00:00:00.645189,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8074039171276224,2026-05-15 01:08:43.982891,2026-05-15 01:08:44.624101,0 days 00:00:00.641210,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8071999049832327,2026-05-15 01:08:44.624324,2026-05-15 01:08:45.267006,0 days 00:00:00.642682,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8081615247263191,2026-05-15 01:08:45.267349,2026-05-15 01:08:45.832591,0 days 00:00:00.565242,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8040035966585455,2026-05-15 01:08:45.832824,2026-05-15 01:08:46.426481,0 days 00:00:00.593657,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8034574391470025,2026-05-15 01:08:46.427270,2026-05-15 01:08:47.170797,0 days 00:00:00.743527,0.5908077985215608,51,5,993,1.4649682502152033,0.07589003839807723,0.45042834710787105,COMPLETE
15,0.7987936129086796,2026-05-15 01:08:47.171148,2026-05-15 01:08:47.879731,0 days 00:00:00.708583,0.5643420077093966,119,6,844,1.707120343469245,0.036941203112995966,0.027099484557163656,COMPLETE
16,0.8086458174440774,2026-05-15 01:08:47.879967,2026-05-15 01:08:48.758138,0 days 00:00:00.878171,0.7169516868415448,80,4,724,8.768149760791598,0.037187613431510724,0.0011137466265017546,COMPLETE
17,0.7961798253712715,2026-05-15 01:08:48.758401,2026-05-15 01:08:51.023620,0 days 00:00:02.265219,0.7533048465596078,69,10,640,9.936922883949954,0.03921492818677457,0.0010446251525877421,COMPLETE
18,0.8078965922888132,2026-05-15 01:08:51.023858,2026-05-15 01:08:51.483107,0 days 00:00:00.459249,0.8773884589317082,34,5,503,0.9124405260910049,0.09869002404266922,0.8088332704222068,COMPLETE
19,0.7812352274192321,2026-05-15 01:08:51.483341,2026-05-15 01:08:52.141483,0 days 00:00:00.658142,0.5074917641393567,178,7,742,0.0282838494795032,0.03443606448194322,0.14467053264901533,COMPLETE
20,0.806996483151761,2026-05-15 01:08:52.141716,2026-05-15 01:08:52.675772,0 days 00:00:00.534056,0.23769698766109754,72,4,774,3.47476641192455,0.0746963582508658,0.0010077121528220072,COMPLETE
21,0.8045534141101788,2026-05-15 01:08:52.676012,2026-05-15 01:08:53.146767,0 days 00:00:00.470755,0.8933330583510521,40,5,497,0.8000643371576887,0.11620563962635314,0.7367922377951359,COMPLETE
22,0.803298644972116,2026-05-15 01:08:53.147000,2026-05-15 01:08:53.709817,0 days 00:00:00.562817,0.9971980231691266,61,5,575,1.2027250468635757,0.09024672293086546,1.7071912652296168,COMPLETE
23,0.8057071216767154,2026-05-15 01:08:53.710050,2026-05-15 01:08:54.403583,0 days 00:00:00.693533,0.721911054502845,34,4,419,4.459452487983759,0.13603482017530313,5.85143440908987,COMPLETE
24,0.8002468452497047,2026-05-15 01:08:54.403812,2026-05-15 01:08:54.954512,0 days 00:00:00.550700,0.8741516408421189,91,6,557,0.24444361636070627,0.06850672440792449,0.955656150118126,COMPLETE
25,0.8067121884505514,2026-05-15 01:08:54.954747,2026-05-15 01:08:55.655418,0 days 00:00:00.700671,0.8328387865516105,124,5,678,6.6700180072521,0.031371647918728235,0.23226944777908481,COMPLETE
26,0.8069254094764586,2026-05-15 01:08:55.655656,2026-05-15 01:08:56.265304,0 days 00:00:00.609648,0.6734375230416061,86,4,424,2.002939817922014,0.04705275543599062,0.013372501428914574,COMPLETE
27,0.8007296031538766,2026-05-15 01:08:56.265544,2026-05-15 01:08:56.661137,0 days 00:00:00.395593,0.5300846903364325,58,5,924,0.9552791813982003,0.09056060481392769,0.07932243651121465,COMPLETE
28,0.8039342939219964,2026-05-15 01:08:56.661377,2026-05-15 01:08:57.292869,0 days 00:00:00.631492,0.9299659947535263,130,6,817,0.3167160890975256,0.061609885289022344,1.9119115756263045,COMPLETE
29,0.8049782032858234,2026-05-15 01:08:57.293091,2026-05-15 01:08:57.702869,0 days 00:00:00.409778,0.7419048274947364,49,4,637,0.1703058761289881,0.1295230738953832,0.004485009178086933,COMPLETE
30,0.7999520429785585,2026-05-15 01:08:57.703112,2026-05-15 01:08:58.231025,0 days 00:00:00.527913,0.8182137813988873,36,5,434,0.070450314654144,0.04361822723172777,0.420965085941273,COMPLETE
31,0.8086159476104369,2026-05-15 01:08:58.231270,2026-05-15 01:08:58.923931,0 days 00:00:00.692661,0.6457610061846039,104,4,935,3.3072442764230345,0.05245581658301737,0.026979987468263685,COMPLETE
32,0.8081158345064818,2026-05-15 01:08:58.924180,2026-05-15 01:08:59.506139,0 days 00:00:00.581959,0.6758011708053525,81,4,902,4.945284929973566,0.0596059016869929,0.026777552009973546,COMPLETE
33,0.8077589313163835,2026-05-15 01:08:59.506369,2026-05-15 01:09:00.343962,0 days 00:00:00.837593,0.6292870160739885,77,4,910,5.292899852427535,0.029384943564780344,0.02285188185440608,COMPLETE
34,0.8074145427601427,2026-05-15 01:09:00.344262,2026-05-15 01:09:00.892950,0 days 00:00:00.548688,0.6849202119017148,106,4,938,9.591180542332994,0.06126001215179121,0.0073872024035897595,COMPLETE
35,0.7983499337196656,2026-05-15 01:09:00.893193,2026-05-15 01:09:01.520199,0 days 00:00:00.627006,0.47894762234600013,85,8,881,2.6016375516089822,0.04654184251641829,0.00893921936832294,COMPLETE
36,0.8053354606636722,2026-05-15 01:09:01.520429,2026-05-15 01:09:02.104882,0 days 00:00:00.584453,0.5622568956465666,112,4,794,4.574030642718953,0.05765936725352882,0.0022771687470312923,COMPLETE
37,0.8016043288354637,2026-05-15 01:09:02.105114,2026-05-15 01:09:02.624904,0 days 00:00:00.519790,0.3553872142362664,135,6,861,6.231872189479402,0.042553662207243194,0.02553704180287592,COMPLETE
38,0.798930211317857,2026-05-15 01:09:02.625136,2026-05-15 01:09:03.753020,0 days 00:00:01.127884,0.0233875359670363,166,7,948,2.2777746581027274,0.011500546201293888,0.06103880478708763,COMPLETE
39,0.8082686074896069,2026-05-15 01:09:03.753239,2026-05-15 01:09:04.265928,0 days 00:00:00.512689,0.4628201888614958,97,4,700,3.8062355996194346,0.0756601307012917,0.00539514028039564,COMPLETE
40,0.7781535578631805,2026-05-15 01:09:04.266161,2026-05-15 01:09:05.228512,0 days 00:00:00.962351,0.24351455447877185,98,9,706,0.5250246021957965,0.026369188038089127,0.004236143912261795,COMPLETE
41,0.8087001262325144,2026-05-15 01:09:05.228735,2026-05-15 01:09:05.714177,0 days 00:00:00.485442,0.6424222998382222,69,4,899,4.326173555866765,0.07751106059121869,0.017824706823968917,COMPLETE
42,0.8062928301537505,2026-05-15 01:09:05.714417,2026-05-15 01:09:06.209769,0 days 00:00:00.495352,0.45960290473591386,63,4,826,3.5384073643377647,0.07572780931292997,0.0017095185705553824,COMPLETE
43,0.8077470069954442,2026-05-15 01:09:06.209990,2026-05-15 01:09:06.723626,0 days 00:00:00.513636,0.43072641940064454,94,4,717,7.209487873512975,0.0841390205071378,0.01645163846836629,COMPLETE
44,0.8042759670388157,2026-05-15 01:09:06.723864,2026-05-15 01:09:07.170341,0 days 00:00:00.446477,0.5320574443882754,118,5,951,1.5465922004153323,0.04935885088431777,0.009143564818082065,COMPLETE
45,0.8015160180229618,2026-05-15 01:09:07.170568,2026-05-15 01:09:07.832341,0 days 00:00:00.661773,0.5857926674877614,153,4,999,0.002434125048141151,0.021185472459962246,0.00582727956675747,COMPLETE
46,0.80287314742097,2026-05-15 01:09:07.832569,2026-05-15 01:09:08.262391,0 days 00:00:00.429822,0.7553763871021518,102,5,873,0.01567946035044858,0.07006540023385342,0.014424061202541052,COMPLETE
47,0.8084239778495703,2026-05-15 01:09:08.262619,2026-05-15 01:09:08.739361,0 days 00:00:00.476742,0.6252832215497302,198,4,791,3.6113935634692527,0.1082158857780664,0.002931515959255537,COMPLETE
48,0.8068804276321228,2026-05-15 01:09:08.739597,2026-05-15 01:09:09.211018,0 days 00:00:00.471421,0.4132830227775465,203,4,768,2.7809338151226166,0.15268609556092536,0.0030247218116164604,COMPLETE
49,0.7982676440989251,2026-05-15 01:09:09.211236,2026-05-15 01:09:09.591853,0 days 00:00:00.380617,0.6146979607441165,225,5,803,0.0010134446798603573,0.11125533463989218,0.0023776595993009173,COMPLETE
50,0.7681995833807551,2026-05-15 01:09:09.592091,2026-05-15 01:09:10.529992,0 days 00:00:00.937901,0.3643679928640545,186,10,623,0.6386470880020381,0.15340532367268261,0.001490815093952581,COMPLETE
51,0.8081915126225431,2026-05-15 01:09:10.530218,2026-05-15 01:09:11.156573,0 days 00:00:00.626355,0.711061093729017,88,4,959,3.7899002148893945,0.053661554103314205,0.03852571259915483,COMPLETE
52,0.8069363892967295,2026-05-15 01:09:11.156812,2026-05-15 01:09:11.763682,0 days 00:00:00.606870,0.6962582211880641,73,4,673,3.6009281022896427,0.0539214530870345,0.005976838126002995,COMPLETE
53,0.8082334248397065,2026-05-15 01:09:11.763912,2026-05-15 01:09:12.295552,0 days 00:00:00.531640,0.7690598695621106,143,4,722,1.2874811065843546,0.0847964998834385,0.003285826227670086,COMPLETE
54,0.791317535929986,2026-05-15 01:09:12.295800,2026-05-15 01:09:12.887160,0 days 00:00:00.591360,0.7651957968368335,163,8,727,1.37575799086165,0.08467791164174862,0.0034101883889347834,COMPLETE
55,0.8061287231626039,2026-05-15 01:09:12.887385,2026-05-15 01:09:13.331045,0 days 00:00:00.443660,0.641850190160017,145,5,681,6.781870039465819,0.10088928540980041,0.0014348053210104274,COMPLETE
56,0.8066617757273717,2026-05-15 01:09:13.331272,2026-05-15 01:09:13.782884,0 days 00:00:00.451612,0.8133436890502012,183,4,838,2.027569829633385,0.10829805001305352,0.00321011455016931,COMPLETE
57,0.8048080751029152,2026-05-15 01:09:13.783121,2026-05-15 01:09:14.191225,0 days 00:00:00.408104,0.7887597317638143,209,4,769,0.9916645394028781,0.12537954278846694,0.009099795648468715,COMPLETE
58,0.8055282568626237,2026-05-15 01:09:14.191457,2026-05-15 01:09:14.590387,0 days 00:00:00.398930,0.5802619652220038,138,5,582,7.506307761599878,0.18976134630388453,0.004639893222640259,COMPLETE
59,0.8058948411845739,2026-05-15 01:09:14.590628,2026-05-15 01:09:15.078384,0 days 00:00:00.487756,0.5156910353005477,66,5,695,1.864564994842908,0.06916449539920162,0.01806123032203441,COMPLETE
60,0.8080847840470058,2026-05-15 01:09:15.078616,2026-05-15 01:09:15.826819,0 days 00:00:00.748203,0.8463621280281991,113,4,744,4.683057725778076,0.036838857867505195,0.0014467587980180026,COMPLETE
61,0.8058859864908069,2026-05-15 01:09:15.827051,2026-05-15 01:09:16.367884,0 days 00:00:00.540833,0.7344035631246518,86,4,975,3.5262720089696917,0.08199296511735964,0.0407260475833525,COMPLETE
62,0.8079950564835012,2026-05-15 01:09:16.368154,2026-05-15 01:09:16.843638,0 days 00:00:00.475484,0.7291225813227619,53,4,899,3.087338951688322,0.09338320042383609,0.011571608383583828,COMPLETE
63,0.8093564361345177,2026-05-15 01:09:16.843862,2026-05-15 01:09:17.462273,0 days 00:00:00.618411,0.6563682769762147,236,4,959,3.940440436650795,0.06425823222978473,0.09013666122517301,COMPLETE
64,0.8089414461533084,2026-05-15 01:09:17.462501,2026-05-15 01:09:18.053801,0 days 00:00:00.591300,0.6552369136763356,232,4,650,2.3676751125861615,0.06441221619297897,0.12948974954860165,COMPLETE
65,0.8077812451446762,2026-05-15 01:09:18.054037,2026-05-15 01:09:18.614393,0 days 00:00:00.560356,0.6067403869060056,241,4,643,5.624175721907516,0.06462814931114334,0.13275849546752777,COMPLETE
66,0.8088828871118634,2026-05-15 01:09:18.614620,2026-05-15 01:09:19.419048,0 days 00:00:00.804428,0.5407647721958728,229,4,545,2.4167782916528004,0.03969947535820269,0.18458146027775602,COMPLETE
67,0.8042209498748772,2026-05-15 01:09:19.419278,2026-05-15 01:09:20.106110,0 days 00:00:00.686832,0.6572349485951151,254,5,467,0.36031459831886575,0.03980151857714794,0.2038484996011239,COMPLETE
68,0.8016366779833588,2026-05-15 01:09:20.106333,2026-05-15 01:09:20.765463,0 days 00:00:00.659130,0.5552014967049986,229,5,925,0.7024173002984545,0.03324826213781734,0.09104234618976448,COMPLETE
69,0.807267790968779,2026-05-15 01:09:20.765689,2026-05-15 01:09:21.685931,0 days 00:00:00.920242,0.6389038735975762,243,4,538,2.422733473993029,0.0287031275713963,0.18007205006391605,COMPLETE
70,0.8090949275119349,2026-05-15 01:09:21.686149,2026-05-15 01:09:22.495051,0 days 00:00:00.808902,0.6652289375648597,232,6,613,8.258669374465576,0.043274973784762555,0.2950326386191342,COMPLETE
71,0.8083448759185861,2026-05-15 01:09:22.495276,2026-05-15 01:09:23.211541,0 days 00:00:00.716265,0.6604210394811013,231,6,616,8.566215661965142,0.041778980630200406,0.4089516424778134,COMPLETE
72,0.7966338940676386,2026-05-15 01:09:23.211767,2026-05-15 01:09:23.923648,0 days 00:00:00.711881,0.6118017129763504,216,8,531,5.384083399360521,0.050269075737581735,0.10685699515739207,COMPLETE
73,0.8099651668153468,2026-05-15 01:09:23.923894,2026-05-15 01:09:24.725987,0 days 00:00:00.802093,0.5470923569912681,200,4,657,9.808738670935387,0.036154084490252106,0.292551756169073,COMPLETE
74,0.8113062397019911,2026-05-15 01:09:24.726217,2026-05-15 01:09:25.729836,0 days 00:00:01.003619,0.4961522888080303,220,4,563,9.502471334682738,0.037655539625345166,0.304856934079901,COMPLETE
75,0.8092763897028649,2026-05-15 01:09:25.730067,2026-05-15 01:09:26.572170,0 days 00:00:00.842103,0.490018736022017,221,4,600,8.854517887152621,0.03610470790971595,0.3104339651337214,COMPLETE
76,0.8095332938846888,2026-05-15 01:09:26.572410,2026-05-15 01:09:27.433761,0 days 00:00:00.861351,0.4875119025472575,219,4,597,7.667929107704345,0.0343572034215582,0.29376033899212695,COMPLETE
77,0.8093275108015457,2026-05-15 01:09:27.434004,2026-05-15 01:09:28.369887,0 days 00:00:00.935883,0.48946884666362855,220,5,591,9.958849539941884,0.034329145054791343,0.29340095507758096,COMPLETE
78,0.8058674506651882,2026-05-15 01:09:28.370132,2026-05-15 01:09:29.325891,0 days 00:00:00.955759,0.4913200586764252,216,7,607,8.614713976155777,0.034362910079200316,0.33190555643991526,COMPLETE
79,0.8088917418056303,2026-05-15 01:09:29.326188,2026-05-15 01:09:30.490181,0 days 00:00:01.163993,0.389072191608404,248,6,585,9.912968349231553,0.030822646679141016,0.5816314569384442,COMPLETE
80,0.807254686022004,2026-05-15 01:09:30.490431,2026-05-15 01:09:31.600232,0 days 00:00:01.109801,0.31838778985702487,222,6,656,6.879777259807653,0.025454457276771418,0.3171804861868946,COMPLETE
81,0.807507812201154,2026-05-15 01:09:31.600466,2026-05-15 01:09:32.586257,0 days 00:00:00.985791,0.40518570861353453,238,6,577,9.974055434515988,0.031110267539149195,0.5556618743959671,COMPLETE
82,0.8047107915340627,2026-05-15 01:09:32.586492,2026-05-15 01:09:33.902225,0 days 00:00:01.315733,0.44795979511308365,246,7,589,6.1842382399349365,0.021957107795221385,0.6439337325947363,COMPLETE
83,0.8075054509494828,2026-05-15 01:09:33.902449,2026-05-15 01:09:34.751888,0 days 00:00:00.849439,0.509203476083278,235,6,521,9.990036303111145,0.0364325217909733,1.0803208817417351,COMPLETE
84,0.8074872693116147,2026-05-15 01:09:34.752141,2026-05-15 01:09:35.675002,0 days 00:00:00.922861,0.3526364224530936,210,5,567,8.268017705330518,0.02873147685045205,0.2787626824462297,COMPLETE
85,0.8081858456185322,2026-05-15 01:09:35.675238,2026-05-15 01:09:36.392482,0 days 00:00:00.717244,0.4769895814934431,248,5,477,5.545257658231906,0.04586125528975631,0.15107884661861828,COMPLETE
86,0.809868001309078,2026-05-15 01:09:36.392705,2026-05-15 01:09:37.826826,0 days 00:00:01.434121,0.37517284537436396,194,5,597,4.726120625476306,0.0318151620175737,1.3901723470740435,COMPLETE
87,0.806028606091746,2026-05-15 01:09:37.827133,2026-05-15 01:09:39.423614,0 days 00:00:01.596481,0.42438931641230243,222,5,509,4.5308677504142585,0.03408152713706291,2.930613086470268,COMPLETE
88,0.8079323652516316,2026-05-15 01:09:39.423847,2026-05-15 01:09:40.223743,0 days 00:00:00.799896,0.2736062277294006,194,5,220,7.665426226548787,0.04245672975697986,0.06934945528153498,COMPLETE
89,0.8063334436824947,2026-05-15 01:09:40.223976,2026-05-15 01:09:43.054326,0 days 00:00:02.830350,0.56521834895569,209,4,657,6.282833456482194,0.01868818359136824,9.543035455812118,COMPLETE
90,0.8072427617010646,2026-05-15 01:09:43.054555,2026-05-15 01:09:44.383372,0 days 00:00:01.328817,0.49635903911838014,201,4,629,0.04004318283819764,0.027557057774191974,1.3494240170151393,COMPLETE
91,0.8062150269111853,2026-05-15 01:09:44.383601,2026-05-15 01:09:45.350523,0 days 00:00:00.966922,0.3870439961342099,234,6,347,7.636744085453943,0.03736873396492575,0.5133537063324467,COMPLETE
92,0.8061478493011405,2026-05-15 01:09:45.350755,2026-05-15 01:09:46.160055,0 days 00:00:00.809300,0.3782251269300884,219,6,597,4.627680928925531,0.03160525585940089,0.2475362801391398,COMPLETE
93,0.7878173345152185,2026-05-15 01:09:46.160288,2026-05-15 01:09:46.910709,0 days 00:00:00.750421,0.32366990207021007,212,7,551,0.008642057836876906,0.03138243454381353,0.382878013682162,COMPLETE
94,0.8107404838015775,2026-05-15 01:09:46.910935,2026-05-15 01:09:47.901999,0 days 00:00:00.991064,0.4491334818057724,193,4,602,9.930757754767821,0.04790894153539233,0.8914486629292969,COMPLETE
95,0.8117597180854405,2026-05-15 01:09:47.902221,2026-05-15 01:09:48.870943,0 days 00:00:00.968722,0.4423867363623349,194,4,561,6.376387908246248,0.04821056789811246,0.8484121491781282,COMPLETE
96,0.8106486311115686,2026-05-15 01:09:48.871188,2026-05-15 01:09:50.096812,0 days 00:00:01.225624,0.46764270862571966,191,4,560,5.975196270128722,0.04710270251727582,2.636208645719752,COMPLETE
97,0.8096051939980761,2026-05-15 01:09:50.097103,2026-05-15 01:09:51.431939,0 days 00:00:01.334836,0.4470625232637749,191,4,280,6.014595184741808,0.04813881537185385,2.9114736683176003,COMPLETE
98,0.8112189914527412,2026-05-15 01:09:51.432172,2026-05-15 01:09:52.549797,0 days 00:00:01.117625,0.4429072381113589,190,4,561,5.709307585869719,0.05683079261046384,1.5500732696891033,COMPLETE
99,0.8094982292973717,2026-05-15 01:09:52.550036,2026-05-15 01:09:53.607155,0 days 00:00:01.057119,0.44574165810861466,191,4,263,4.269444664239107,0.05656241116312897,2.5809698563684766,COMPLETE
